adservice&count&current,timestamp,cartservice&count&current,checkoutservice&count&current,currencyservice&count&current,emailservice&count&current,frontend&count&current,paymentservice&count&current,productcatalogservice&count&current,recommendationservice&count&current,redis-cart&count&current,shippingservice&count&current
1.0,2025-01-03 18:40:14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2025-01-03 18:41:15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2025-01-03 18:42:16,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
1.0,2025-01-03 18:43:17,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:44:18,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:45:18,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:46:19,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:47:19,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:48:20,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:49:21,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:50:22,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,2025-01-03 18:51:22,1.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0
1.0,2025-01-03 18:52:23,1.0,1.0,4.0,1.0,10.0,1.0,5.0,2.0,2.0,1.0
1.0,2025-01-03 18:53:24,1.0,1.0,4.0,1.0,10.0,1.0,5.0,2.0,2.0,1.0
1.0,2025-01-03 18:54:25,1.0,1.0,4.0,1.0,10.0,1.0,5.0,2.0,2.0,1.0
1.0,2025-01-03 18:55:26,1.0,1.0,4.0,1.0,10.0,1.0,5.0,2.0,2.0,1.0
