adservice&count&current,timestamp,cartservice&count&current,checkoutservice&count&current,currencyservice&count&current,emailservice&count&current,frontend&count&current,paymentservice&count&current,productcatalogservice&count&current,recommendationservice&count&current,redis-cart&count&current,shippingservice&count&current
1.0,2024-12-22 18:41:08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:42:09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:43:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:44:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:45:11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:46:12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:47:12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:48:13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:49:14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:50:14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:51:15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:52:16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:53:16,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:54:17,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0
1.0,2024-12-22 18:55:18,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:56:19,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:57:19,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:58:20,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 18:59:21,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:00:21,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:01:22,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:02:23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:03:23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:04:24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:05:24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:06:25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:07:26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:08:26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:09:27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:10:27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:11:28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:12:29,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
1.0,2024-12-22 19:13:29,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
1.0,2024-12-22 19:14:30,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:15:31,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:16:32,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:17:32,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:18:33,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:19:34,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:20:34,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
1.0,2024-12-22 19:21:35,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:22:36,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
1.0,2024-12-22 19:23:36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:24:37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:25:38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:26:38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:27:39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:28:40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:29:40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:30:41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:31:42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:32:42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2024-12-22 19:33:43,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
