chatbot&count&current,timestamp
1.0,2024-11-18 01:20:11
1.0,2024-11-18 01:21:11
1.0,2024-11-18 01:22:11
1.0,2024-11-18 01:23:11
1.0,2024-11-18 01:24:11
1.0,2024-11-18 01:25:11
1.0,2024-11-18 01:26:12
1.0,2024-11-18 01:27:12
1.0,2024-11-18 01:28:12
1.0,2024-11-18 01:29:12
1.0,2024-11-18 01:30:12
1.0,2024-11-18 01:31:12
1.0,2024-11-18 01:32:13
1.0,2024-11-18 01:33:13
1.0,2024-11-18 01:34:13
1.0,2024-11-18 01:35:13
1.0,2024-11-18 01:36:13
1.0,2024-11-18 01:37:13
1.0,2024-11-18 01:38:13
1.0,2024-11-18 01:39:14
1.0,2024-11-18 01:40:14
1.0,2024-11-18 01:41:14
1.0,2024-11-18 01:42:14
1.0,2024-11-18 01:43:14
1.0,2024-11-18 01:44:14
1.0,2024-11-18 01:45:15
1.0,2024-11-18 01:46:15
1.0,2024-11-18 01:47:15
1.0,2024-11-18 01:48:15
1.0,2024-11-18 01:49:15
1.0,2024-11-18 01:50:15
1.0,2024-11-18 01:51:16
1.0,2024-11-18 01:52:16
1.0,2024-11-18 01:53:16
1.0,2024-11-18 01:54:16
1.0,2024-11-18 01:55:16
1.0,2024-11-18 01:56:16
1.0,2024-11-18 01:57:17
1.0,2024-11-18 01:58:17
1.0,2024-11-18 01:59:17
1.0,2024-11-18 02:00:17
1.0,2024-11-18 02:01:17
1.0,2024-11-18 02:02:17
1.0,2024-11-18 02:03:18
1.0,2024-11-18 02:04:18
1.0,2024-11-18 02:05:18
1.0,2024-11-18 02:06:18
1.0,2024-11-18 02:07:18
1.0,2024-11-18 02:08:18
1.0,2024-11-18 02:09:19
1.0,2024-11-18 02:10:19
1.0,2024-11-18 02:11:19
1.0,2024-11-18 02:12:19
1.0,2024-11-18 02:13:19
1.0,2024-11-18 02:14:20
1.0,2024-11-18 02:15:20
1.0,2024-11-18 02:16:20
1.0,2024-11-18 02:17:20
1.0,2024-11-18 02:18:20
1.0,2024-11-18 02:19:20
1.0,2024-11-18 02:20:21
1.0,2024-11-18 02:21:21
1.0,2024-11-18 02:22:21
1.0,2024-11-18 02:23:21
1.0,2024-11-18 02:24:21
1.0,2024-11-18 02:25:21
1.0,2024-11-18 02:26:21
1.0,2024-11-18 02:27:22
1.0,2024-11-18 02:28:22
1.0,2024-11-18 02:29:22
1.0,2024-11-18 02:30:22
1.0,2024-11-18 02:31:22
