chatbot&count&current,timestamp
1.0,2024-11-15 14:02:44
1.0,2024-11-15 14:03:44
1.0,2024-11-15 14:04:44
1.0,2024-11-15 14:05:44
1.0,2024-11-15 14:06:44
1.0,2024-11-15 14:07:44
1.0,2024-11-15 14:08:44
1.0,2024-11-15 14:09:45
1.0,2024-11-15 14:10:45
1.0,2024-11-15 14:11:45
1.0,2024-11-15 14:12:45
1.0,2024-11-15 14:13:45
1.0,2024-11-15 14:14:45
1.0,2024-11-15 14:15:46
1.0,2024-11-15 14:16:46
1.0,2024-11-15 14:17:46
1.0,2024-11-15 14:18:46
1.0,2024-11-15 14:19:46
1.0,2024-11-15 14:20:46
1.0,2024-11-15 14:21:47
1.0,2024-11-15 14:22:47
1.0,2024-11-15 14:23:47
1.0,2024-11-15 14:24:47
1.0,2024-11-15 14:25:47
1.0,2024-11-15 14:26:47
1.0,2024-11-15 14:27:48
1.0,2024-11-15 14:28:48
1.0,2024-11-15 14:29:48
1.0,2024-11-15 14:30:48
1.0,2024-11-15 14:31:48
1.0,2024-11-15 14:32:48
1.0,2024-11-15 14:33:49
1.0,2024-11-15 14:34:49
1.0,2024-11-15 14:35:49
1.0,2024-11-15 14:36:49
1.0,2024-11-15 14:37:49
