chatbot&count&current,timestamp
1.0,2024-11-15 22:56:57
1.0,2024-11-15 22:57:57
1.0,2024-11-15 22:58:58
1.0,2024-11-15 22:59:58
1.0,2024-11-15 23:00:58
1.0,2024-11-15 23:01:58
1.0,2024-11-15 23:02:58
1.0,2024-11-15 23:03:58
1.0,2024-11-15 23:04:59
1.0,2024-11-15 23:05:59
1.0,2024-11-15 23:06:59
1.0,2024-11-15 23:07:59
1.0,2024-11-15 23:08:59
2.0,2024-11-15 23:10:00
2.0,2024-11-15 23:11:00
2.0,2024-11-15 23:12:00
2.0,2024-11-15 23:13:00
3.0,2024-11-15 23:14:00
2.0,2024-11-15 23:15:01
2.0,2024-11-15 23:16:01
2.0,2024-11-15 23:17:01
2.0,2024-11-15 23:18:01
2.0,2024-11-15 23:19:01
2.0,2024-11-15 23:20:02
2.0,2024-11-15 23:21:02
2.0,2024-11-15 23:22:02
2.0,2024-11-15 23:23:02
1.0,2024-11-15 23:24:02
1.0,2024-11-15 23:25:02
1.0,2024-11-15 23:26:03
1.0,2024-11-15 23:27:03
1.0,2024-11-15 23:28:03
1.0,2024-11-15 23:29:03
2.0,2024-11-15 23:30:03
3.0,2024-11-15 23:31:04
3.0,2024-11-15 23:32:04
2.0,2024-11-15 23:33:04
2.0,2024-11-15 23:34:04
2.0,2024-11-15 23:35:04
2.0,2024-11-15 23:36:04
2.0,2024-11-15 23:37:05
2.0,2024-11-15 23:38:05
3.0,2024-11-15 23:39:05
2.0,2024-11-15 23:40:05
1.0,2024-11-15 23:41:05
1.0,2024-11-15 23:42:06
1.0,2024-11-15 23:43:06
1.0,2024-11-15 23:44:06
1.0,2024-11-15 23:45:06
1.0,2024-11-15 23:46:06
1.0,2024-11-15 23:47:06
1.0,2024-11-15 23:48:07
1.0,2024-11-15 23:49:07
2.0,2024-11-15 23:50:07
2.0,2024-11-15 23:51:07
2.0,2024-11-15 23:52:07
3.0,2024-11-15 23:53:08
3.0,2024-11-15 23:54:08
3.0,2024-11-15 23:55:08
2.0,2024-11-15 23:56:10
2.0,2024-11-15 23:57:28
3.0,2024-11-15 23:58:28
3.0,2024-11-15 23:59:28
2.0,2024-11-16 00:00:29
1.0,2024-11-16 00:01:29
1.0,2024-11-16 00:02:29
1.0,2024-11-16 00:03:29
1.0,2024-11-16 00:04:29
1.0,2024-11-16 00:05:29
1.0,2024-11-16 00:06:30
1.0,2024-11-16 00:07:30
1.0,2024-11-16 00:08:30
